Target Distance :100, Step Size : 2
1919: (x,y) = (-43.5984, 39.3245)
1920: (x,y) = (-41.6133, 39.5682)
1921: (x,y) = (-40.1991, 40.9824)
1922: (x,y) = (-38.6019, 42.1861)
1923: (x,y) = (-37.4547, 43.8244)
1924: (x,y) = (-37.0389, 41.8681)
1925: (x,y) = (-35.8076, 43.4441)
1926: (x,y) = (-37.5037, 44.5039)
1927: (x,y) = (-39.1217, 43.3284)
1928: (x,y) = (-38.3082, 45.1555)
1929: (x,y) = (-36.5762, 44.1555)
1930: (x,y) = (-38.4556, 43.4714)
1931: (x,y) = (-36.4802, 43.7843)
1932: (x,y) = (-38.4556, 44.0972)
1933: (x,y) = (-39.2048, 45.9515)
1934: (x,y) = (-41.1273, 45.4002)
1935: (x,y) = (-39.8687, 43.846)
1936: (x,y) = (-40.4199, 41.9234)
1937: (x,y) = (-38.4394, 42.2018)
1938: (x,y) = (-39.6707, 40.6258)
1939: (x,y) = (-39.7405, 38.627)
1940: (x,y) = (-38.2542, 39.9652)
1941: (x,y) = (-39.1622, 41.7472)
1942: (x,y) = (-41.1185, 42.1631)
1943: (x,y) = (-41.3276, 44.1521)
1944: (x,y) = (-42.7903, 45.5161)
1945: (x,y) = (-41.193, 46.7197)
1946: (x,y) = (-41.5403, 48.6894)
1947: (x,y) = (-39.6731, 47.9726)
1948: (x,y) = (-39.8126, 49.9677)
1949: (x,y) = (-37.8203, 50.1421)
1950: (x,y) = (-39.8093, 50.3511)
1951: (x,y) = (-40.2251, 52.3074)
1952: (x,y) = (-39.8093, 50.3511)
1953: (x,y) = (-39.5656, 52.3362)
1954: (x,y) = (-37.8163, 53.3058)
1955: (x,y) = (-37.3325, 55.2464)
1956: (x,y) = (-38.7467, 56.6606)
1957: (x,y) = (-40.7439, 56.7653)
1958: (x,y) = (-42.6665, 57.3166)
1959: (x,y) = (-42.0817, 59.2292)
1960: (x,y) = (-40.1907, 59.8803)
1961: (x,y) = (-38.1956, 60.0198)
1962: (x,y) = (-36.8062, 58.5812)
1963: (x,y) = (-38.7759, 58.2339)
1964: (x,y) = (-39.6526, 60.0314)
1965: (x,y) = (-41.3847, 61.0314)
1966: (x,y) = (-39.4284, 61.4473)
1967: (x,y) = (-40.3673, 59.6814)
1968: (x,y) = (-42.2217, 60.4306)
1969: (x,y) = (-43.0984, 58.633)
1970: (x,y) = (-41.2574, 59.4145)
1971: (x,y) = (-43.1246, 58.6977)
1972: (x,y) = (-41.1249, 58.7326)
1973: (x,y) = (-43.0881, 58.351)
1974: (x,y) = (-45.0514, 58.7326)
1975: (x,y) = (-43.0818, 59.0799)
1976: (x,y) = (-43.4291, 61.0495)
1977: (x,y) = (-43.4291, 59.0495)
1978: (x,y) = (-44.9153, 57.7113)
1979: (x,y) = (-46.8472, 57.1936)
1980: (x,y) = (-48.5245, 58.2829)
1981: (x,y) = (-46.9065, 59.4585)
1982: (x,y) = (-48.8698, 59.8401)
1983: (x,y) = (-47.8397, 58.1258)
1984: (x,y) = (-48.8093, 59.875)
1985: (x,y) = (-50.7114, 59.257)
1986: (x,y) = (-48.7988, 59.8417)
1987: (x,y) = (-49.9744, 61.4598)
1988: (x,y) = (-48.0425, 61.9774)
1989: (x,y) = (-50.0422, 61.9425)
1990: (x,y) = (-49.3911, 63.8335)
1991: (x,y) = (-47.733, 64.9519)
1992: (x,y) = (-46.6732, 66.648)
1993: (x,y) = (-44.8606, 67.4933)
1994: (x,y) = (-45.1043, 69.4783)
1995: (x,y) = (-43.715, 70.917)
1996: (x,y) = (-45.7101, 71.0565)
1997: (x,y) = (-46.3612, 72.9476)
1998: (x,y) = (-48.2523, 73.5987)
1999: (x,y) = (-46.4547, 72.722)
2000: (x,y) = (-44.4696, 72.4782)
2001: (x,y) = (-43.3512, 74.1363)
2002: (x,y) = (-41.9872, 75.599)
2003: (x,y) = (-43.3765, 74.1603)
2004: (x,y) = (-44.3462, 75.9096)
2005: (x,y) = (-45.9434, 74.7059)
2006: (x,y) = (-47.0618, 73.0479)
2007: (x,y) = (-48.5939, 71.7623)
2008: (x,y) = (-46.5942, 71.7274)
2009: (x,y) = (-44.8622, 70.7274)
2010: (x,y) = (-44.2774, 68.8148)
2011: (x,y) = (-45.9355, 69.9332)
2012: (x,y) = (-43.9464, 70.1422)
2013: (x,y) = (-42.2503, 69.0824)
2014: (x,y) = (-42.1457, 71.0796)
2015: (x,y) = (-40.1484, 70.975)
2016: (x,y) = (-42.089, 71.4588)
2017: (x,y) = (-40.2619, 70.6453)
2018: (x,y) = (-38.2695, 70.471)
2019: (x,y) = (-37.0659, 72.0683)
2020: (x,y) = (-38.9069, 72.8498)
2021: (x,y) = (-38.0934, 74.6769)
2022: (x,y) = (-36.584, 73.3647)
2023: (x,y) = (-36.4793, 75.362)
2024: (x,y) = (-36.5491, 77.3608)
2025: (x,y) = (-35.4308, 79.0188)
2026: (x,y) = (-36.8201, 80.4575)
2027: (x,y) = (-38.3522, 81.7431)
2028: (x,y) = (-36.7549, 82.9467)
2029: (x,y) = (-35.9096, 81.1341)
2030: (x,y) = (-36.7231, 82.9612)
2031: (x,y) = (-34.9911, 83.9612)
2032: (x,y) = (-33.0157, 83.6483)
2033: (x,y) = (-34.9178, 84.2664)
2034: (x,y) = (-36.1491, 85.8424)
2035: (x,y) = (-36.8332, 87.7218)
2036: (x,y) = (-37.4843, 85.8307)
2037: (x,y) = (-35.4919, 86.0051)
2038: (x,y) = (-37.3463, 85.2558)
2039: (x,y) = (-38.0303, 83.3765)
2040: (x,y) = (-39.8123, 82.4685)
2041: (x,y) = (-37.8126, 82.5034)
2042: (x,y) = (-36.1946, 83.679)
2043: (x,y) = (-37.8527, 82.5606)
2044: (x,y) = (-36.1384, 81.5305)
2045: (x,y) = (-34.146, 81.3562)
2046: (x,y) = (-33.9022, 83.3413)
2047: (x,y) = (-35.3164, 84.7555)
2048: (x,y) = (-33.5672, 83.7859)
2049: (x,y) = (-32.2551, 82.2764)
2050: (x,y) = (-31.2551, 84.0085)
2051: (x,y) = (-29.2551, 84.0085)
2052: (x,y) = (-27.3425, 84.5932)
2053: (x,y) = (-25.4631, 85.2773)
2054: (x,y) = (-25.3933, 87.2761)
2055: (x,y) = (-23.5022, 86.6249)
2056: (x,y) = (-23.0184, 88.5655)
2057: (x,y) = (-23.1579, 90.5606)
2058: (x,y) = (-24.188, 92.275)
2059: (x,y) = (-25.0015, 94.1021)
2060: (x,y) = (-23.2522, 95.0717)
2061: (x,y) = (-23.8703, 96.9738)
2062: (x,y) = (-21.9477, 97.5251)
2063: (x,y) = (-22.5658, 95.623)
2064: (x,y) = (-24.1418, 96.8543)
2065: (x,y) = (-25.7801, 98.0014)
After 2065 steps, the subject  has the following location: 
(x,y) = ( -25.7801, 98.0014)
or 
(m, a) = (101.336, 1.82803)
Average outward distance per step = 0.0490729
Bye !
